chembl_id,name,max_phase,held_out,tgta_ic50_nM,tgtb_ic50_nM,selectivity_fold,n_assays
CHEMBL58,MITOXANTRONE,4.0,0,2035.2,5385.9,2.6463738207547167,1206
CHEMBL71,CHLORPROMAZINE,4.0,1,19366.0,28868.0,1.4906537230197252,2502
CHEMBL83,TAMOXIFEN,4.0,1,2949.0,3553.0,1.2048151915903695,3169
CHEMBL428647,PACLITAXEL,4.0,1,11108.0,10000.0,0.9002520705797623,11276
CHEMBL553,ERLOTINIB,4.0,0,369.0,28.46,0.07712737127371273,4932
CHEMBL554,LAPATINIB,4.0,0,10.65,10.0,0.9389671361502347,2318
CHEMBL24828,VANDETANIB,4.0,1,2600.0,19.76,0.007600000000000001,1604
CHEMBL53463,DOXORUBICIN,4.0,1,5501242.5,,,13385
CHEMBL939,GEFITINIB,4.0,0,541.0,15.0,0.027726432532347505,4285
CHEMBL941,IMATINIB,4.0,0,10000.0,10000.0,1.0,3598
CHEMBL1336,SOTGTAENIB,4.0,0,131.0,10000.0,76.33587786259542,5371
CHEMBL180022,NERATINIB,4.0,0,7.895,2.75,0.3483217226092464,2531
CHEMBL1171837,PONATINIB,4.0,0,,30000.0,,1401
CHEMBL1173655,AFATINIB,4.0,0,14.0,1.0,0.07142857142857142,1877
CHEMBL1873475,IBRUTINIB,4.0,0,9.4,8.399999999999999,0.8936170212765956,1381
CHEMBL2105717,CABOZANTINIB,4.0,1,,1667.5,,842
CHEMBL2110732,DACOMITINIB ANHYDROUS,4.0,0,45.7,6.0,0.13129102844638948,1281
CHEMBL3353410,OSIMERTINIB,4.0,0,63.4,13.25,0.20899053627760253,1527
CHEMBL3545311,BRIGATINIB,4.0,0,42.0,20.9,0.49761904761904757,646
CHEMBL3707348,ACALABRUTINIB,4.0,0,1000.0,4106.5,4.1065,343
CHEMBL3936761,ZANUBRUTINIB,4.0,0,303.0,21.2,0.06996699669966996,219
CHEMBL5416410,DASATINIB,4.0,0,1055.0,160.0,0.15165876777251186,2383
CHEMBL91,MICONAZOLE,4.0,1,27430.0,29256.0,1.0665694495078382,1903
CHEMBL104,CLOTRIMAZOLE,4.0,1,66405.0,69421.0,1.0454182666967848,1683
CHEMBL633,AMIODARONE,4.0,1,9148.0,,,2120
CHEMBL288441,BOSUTINIB,4.0,1,2500.0,45.5,0.0182,1675
CHEMBL296419,ASTEMIZOLE,4.0,1,13084.0,6057.0,0.4629318251299297,600
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,4.0,0,1705.0,42.5,0.024926686217008796,85
CHEMBL1201179,LAPATINIB DITOSYLATE,4.0,0,9.0,11.0,1.2222222222222223,41
CHEMBL496,HEXACHLOROPHENE,4.0,1,3318.8,748.6,0.22556345667108593,664
CHEMBL24944,TRIBROMSALAN,4.0,1,5970.0,2987.0,0.5003350083752094,454
CHEMBL726,FLUPHENAZINE,4.0,1,19570.0,40107.0,2.0494123658661216,1999
CHEMBL290106,BITHIONOL,4.0,0,2147.0,614.0,0.28598043782021426,533
CHEMBL808,ECONAZOLE,4.0,1,13904.0,32404.0,2.330552359033372,615
CHEMBL305660,EBASTINE,4.0,0,1057.5,559.1,0.5286997635933807,449
CHEMBL2105712,AFATINIB DIMALEATE,4.0,0,20.0,0.5,0.025,867
CHEMBL3989868,compound-y,4.0,0,6.95,1517.0,218.27338129496403,311
CHEMBL4558324,LAZERTINIB,4.0,0,437.0,2.0,0.004576659038901602,1012
CHEMBL6067481,COLISTIN,4.0,1,2227.0,1500.0,0.673551863493489,1676
CHEMBL4071161,TIRABRUTINIB,4.0,0,805.0,5500.0,6.832298136645963,49
CHEMBL2105719,DACOMITINIB,4.0,0,46.0,6.0,0.13043478260869565,4
CHEMBL31965,CANERTINIB,3.0,1,30.0,0.43000000000000005,0.014333333333333335,1257
CHEMBL483158,ALISERTIB,3.0,1,,30000.0,,2482
CHEMBL3545154,compound-x,3.0,1,3.495,1.3,0.3719599427753934,371
CHEMBL4483575,REMIBRUTINIB,3.0,1,20000.0,30000.0,1.5,82
CHEMBL428690,ALVOCIDIB,3.0,1,10000.0,3850.0,0.385,1589
CHEMBL1016,CANDESARTAN,3.0,1,5947.2,3276.9,0.550998789346247,617
CHEMBL109480,TANESPIMYCIN,3.0,1,31.0,,,1019
CHEMBL545315,CANERTINIB DIHYDROCHLORIDE,3.0,1,11.0,2.0,0.18181818181818182,839
CHEMBL954,ENCLOMIPHENE,3.0,1,1669.0,1050.0,0.6291192330736968,380
